# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u compare.py
====================================================================================================
BASELINE vs LSTM vs DQN comparison
trace: C:\Users\Nima\PointCloudStreaming\bandwidth_5g\static_B_2020.01.16_10.43.34.csv | frames: all
====================================================================================================
--- DASH-PC Point Cloud Streaming Simulation ---

[Session] User via edge-1 - Buffer: 5.0s capacity, 1.0s min, 30.0 FPS target
====================================================================================================
[User] Frame 114: ✅ Rep 5 (density=14971, size= 3854) | DL=0.07s | BW=8.2Mbps | Buffer: 🔴 0.10s (critical) ⏸️ REBUFFERING...
[User] Frame 115: ✅ Rep 5 (density=14863, size= 3855) | DL=0.06s | BW=8.2Mbps | Buffer: 🔴 0.13s (critical) ⏸️ REBUFFERING...
[User] Frame 116: ✅ Rep 5 (density=14936, size= 3837) | DL=0.07s | BW=8.2Mbps | Buffer: 🔴 0.17s (critical) ⏸️ REBUFFERING...
[User] Frame 117: ✅ Rep 5 (density=14896, size= 3856) | DL=0.07s | BW=8.2Mbps | Buffer: 🔴 0.20s (critical) ⏸️ REBUFFERING...
[User] Frame 118: ✅ Rep 5 (density=14690, size= 3784) | DL=0.08s | BW=8.2Mbps | Buffer: 🔴 0.23s (critical) ⏸️ REBUFFERING...
[User] Frame 119: ✅ Rep 5 (density=14574, size= 3745) | DL=0.07s | BW=8.2Mbps | Buffer: 🔴 0.27s (critical) ⏸️ REBUFFERING...
[User] Frame 120: ✅ Rep 5 (density=14633, size= 3762) | DL=0.06s | BW=8.2Mbps | Buffer: 🔴 0.30s (critical) ⏸️ REBUFFERING...
[User] Frame 121: ✅ Rep 5 (density=14771, size= 3785) | DL=0.07s | BW=8.2Mbps | Buffer: 🔴 0.33s (critical) ⏸️ REBUFFERING...
[User] Frame 122: ✅ Rep 5 (density=14798, size= 3832) | DL=0.08s | BW=8.2Mbps | Buffer: 🔴 0.37s (critical) ⏸️ REBUFFERING...
[User] Frame 123: ✅ Rep 5 (density=15055, size= 3917) | DL=0.07s | BW=8.2Mbps | Buffer: 🔴 0.40s (critical) ⏸️ REBUFFERING...
[User] Frame 124: ✅ Rep 5 (density=15011, size= 3872) | DL=0.07s | BW=8.2Mbps | Buffer: 🔴 0.43s (critical) ⏸️ REBUFFERING...
[User] Frame 125: ✅ Rep 5 (density=15084, size= 3882) | DL=0.08s | BW=8.2Mbps | Buffer: 🔴 0.47s (critical) ⏸️ REBUFFERING...
[User] Frame 126: ✅ Rep 5 (density=15257, size= 3930) | DL=0.08s | BW=8.2Mbps | Buffer: 🔴 0.50s (critical) ⏸️ REBUFFERING...
[User] Frame 127: ✅ Rep 5 (density=15472, size= 3966) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.53s (low) ⏸️ REBUFFERING...
[User] Frame 128: ✅ Rep 5 (density=15732, size= 4055) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.57s (low) ⏸️ REBUFFERING...
[User] Frame 129: ✅ Rep 5 (density=15959, size= 4079) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.60s (low) ⏸️ REBUFFERING...
[User] Frame 130: ✅ Rep 5 (density=16143, size= 4132) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.63s (low) ⏸️ REBUFFERING...
[User] Frame 131: ✅ Rep 5 (density=16175, size= 4152) | DL=0.06s | BW=17.8Mbps | Buffer: 🟡 0.67s (low) ⏸️ REBUFFERING...
[User] Frame 132: ✅ Rep 5 (density=16111, size= 4140) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.70s (low) ⏸️ REBUFFERING...
[User] Frame 133: ✅ Rep 5 (density=16046, size= 4085) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.73s (low) ⏸️ REBUFFERING...
[User] Frame 134: ✅ Rep 5 (density=16025, size= 4062) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.77s (low) ⏸️ REBUFFERING...
[User] Frame 135: ✅ Rep 5 (density=15977, size= 4086) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.80s (low) ⏸️ REBUFFERING...
[User] Frame 136: ✅ Rep 5 (density=15791, size= 4013) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.83s (low) ⏸️ REBUFFERING...
[User] Frame 137: ✅ Rep 5 (density=15747, size= 4047) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.87s (low) ⏸️ REBUFFERING...
[User] Frame 138: ✅ Rep 5 (density=15697, size= 4004) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.90s (low) ⏸️ REBUFFERING...
[User] Frame 139: ✅ Rep 5 (density=15589, size= 3932) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.93s (low) ⏸️ REBUFFERING...
[User] Frame 140: ✅ Rep 5 (density=15381, size= 3860) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.97s (low) ⏸️ REBUFFERING...
[User] Frame 141: ✅ Rep 5 (density=15141, size= 3823) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 1.00s (low) ⏸️ REBUFFERING...
[User] Frame 142: ✅ Rep 5 (density=14946, size= 3776) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 1.03s (low) ▶️ RESUMED (rebuffer=3.16s)
[User] Frame 143: ✅ Rep 5 (density=14782, size= 3754) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.99s (low) ▶️ PLAYING
[User] Frame 144: ✅ Rep 5 (density=14664, size= 3732) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.96s (low) ▶️ PLAYING
[User] Frame 145: ✅ Rep 5 (density=14565, size= 3714) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.92s (low) ▶️ PLAYING
[User] Frame 146: ✅ Rep 5 (density=14593, size= 3750) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.89s (low) ▶️ PLAYING
[User] Frame 147: ✅ Rep 5 (density=14689, size= 3796) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.85s (low) ▶️ PLAYING
[User] Frame 148: ✅ Rep 5 (density=14790, size= 3835) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.82s (low) ▶️ PLAYING
[User] Frame 149: ✅ Rep 5 (density=14853, size= 3834) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.78s (low) ▶️ PLAYING
[User] Frame 150: ✅ Rep 5 (density=14820, size= 3845) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.74s (low) ▶️ PLAYING
[User] Frame 151: ✅ Rep 5 (density=14789, size= 3837) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.69s (low) ▶️ PLAYING
[User] Frame 152: ✅ Rep 5 (density=14807, size= 3839) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.66s (low) ▶️ PLAYING
[User] Frame 153: ✅ Rep 5 (density=14815, size= 3855) | DL=0.07s | BW=17.8Mbps | Buffer: 🟡 0.62s (low) ▶️ PLAYING
[User] Frame 154: ✅ Rep 5 (density=14847, size= 3904) | DL=0.08s | BW=17.8Mbps | Buffer: 🟡 0.58s (low) ▶️ PLAYING
[User] Frame 155: ✅ Rep 5 (density=14897, size= 3879) | DL=0.08s | BW=56.4Mbps | Buffer: 🟡 0.53s (low) ▶️ PLAYING
[User] Frame 156: ✅ Rep 5 (density=14846, size= 3916) | DL=0.08s | BW=56.4Mbps | Buffer: 🔴 0.49s (critical) ▶️ PLAYING
[User] Frame 157: ✅ Rep 5 (density=14946, size= 3900) | DL=0.07s | BW=56.4Mbps | Buffer: 🔴 0.45s (critical) ▶️ PLAYING
[User] Frame 158: ✅ Rep 5 (density=15016, size= 3923) | DL=0.07s | BW=56.4Mbps | Buffer: 🔴 0.41s (critical) ▶️ PLAYING
[User] Frame 159: ✅ Rep 5 (density=14937, size= 3889) | DL=0.07s | BW=56.4Mbps | Buffer: 🔴 0.38s (critical) ▶️ PLAYING
