[ep  149] longdress    static_B_2020.02.14_13.21.26.csv@67    reward=QoE=   34.90 eps=0.774 loss=1.8611
[ep  150] loot         driving_B_2020.02.13_13.03.24.csv@379   reward=QoE=  -56.11 eps=0.772 loss=1.8848
[ep  151] redandblack  driving_B_2019.12.17_07.32.39.csv@1706  reward=QoE=  -81.67 eps=0.771 loss=1.8734
[ep  152] soldier      static_B_2019.12.16_13.40.04.csv@1904  reward=QoE=    8.20 eps=0.769 loss=1.7794
[ep  153] longdress    static_B_2020.02.27_18.39.27.csv@2178  reward=QoE=   53.19 eps=0.768 loss=1.8681
[ep  154] loot         driving_B_2020.02.13_13.03.24.csv@139   reward=QoE=   -8.53 eps=0.766 loss=2.0414
[ep  155] redandblack  static_B_2020.02.27_18.39.27.csv@3258  reward=QoE=   59.71 eps=0.765 loss=1.6768
[ep  156] soldier      driving_B_2020.02.14_12.58.17.csv@124   reward=QoE=  -33.27 eps=0.763 loss=1.7838
[ep  157] longdress    driving_B_2020.02.27_17.30.15.csv@210   reward=QoE= -717.79 eps=0.762 loss=1.9578
[ep  158] loot         static_B_2020.02.27_18.39.27.csv@1638  reward=QoE=   45.80 eps=0.760 loss=1.7486
[ep  159] redandblack  driving_B_2020.02.13_13.03.24.csv@499   reward=QoE=  -76.17 eps=0.759 loss=1.8891
[ep  160] soldier      driving_B_2020.01.16_09.56.56.csv@1396  reward=QoE=    9.84 eps=0.757 loss=1.8394
[ep  161] longdress    driving_B_2020.02.14_09.38.22.csv@601   reward=QoE=   38.46 eps=0.756 loss=2.0263
[ep  162] loot         driving_B_2020.02.27_17.30.15.csv@570   reward=QoE=  -54.22 eps=0.754 loss=2.2495
[ep  163] redandblack  static_B_2019.12.16_13.40.04.csv@600   reward=QoE=   30.80 eps=0.752 loss=1.8571
[ep  164] soldier      static_B_2020.02.27_18.39.27.csv@5742  reward=QoE=   45.74 eps=0.751 loss=2.1329
[ep  165] longdress    driving_B_2020.01.16_07.26.43.csv@691   reward=QoE=  -90.48 eps=0.749 loss=1.8651
[ep  166] loot         driving_B_2020.02.13_13.03.24.csv@559   reward=QoE=  -45.54 eps=0.748 loss=1.9748
[ep  167] redandblack  driving_B_2020.01.16_12.10.03.csv@125   reward=QoE=   38.61 eps=0.746 loss=2.1000
[ep  168] soldier      static_B_2019.12.16_13.40.04.csv@1860  reward=QoE=  -21.43 eps=0.745 loss=2.0162
[ep  169] longdress    driving_B_2020.02.14_12.58.17.csv@364   reward=QoE= -307.68 eps=0.743 loss=2.1069
[ep  170] loot         driving_B_2020.01.16_09.56.56.csv@796   reward=QoE=   24.82 eps=0.742 loss=1.8533
[ep  171] redandblack  driving_B_2019.12.16_12.27.05.csv@197   reward=QoE=  -34.54 eps=0.740 loss=2.0394
[ep  172] soldier      driving_B_2020.02.13_15.02.01.csv@441   reward=QoE=  -33.97 eps=0.739 loss=1.8895
[ep  173] longdress    static_B_2020.02.27_18.39.27.csv@5358  reward=QoE=   28.62 eps=0.737 loss=1.9357
[ep  174] loot         driving_B_2020.02.14_12.58.17.csv@604   reward=QoE=   25.02 eps=0.736 loss=1.9299
[ep  175] redandblack  static_B_2020.02.27_18.39.27.csv@4338  reward=QoE=   33.58 eps=0.734 loss=2.1138
[ep  176] soldier      static_B_2019.12.16_13.40.04.csv@420   reward=QoE=  -17.19 eps=0.733 loss=1.7980
[ep  177] longdress    driving_B_2020.01.16_09.56.56.csv@1156  reward=QoE=  -39.55 eps=0.731 loss=1.8985
[ep  178] loot         driving_B_2020.01.16_07.26.43.csv@1411  reward=QoE=  -65.77 eps=0.730 loss=1.9228
[ep  179] redandblack  static_B_2020.02.27_18.39.27.csv@5598  reward=QoE=   37.91 eps=0.728 loss=1.8469
[ep  180] soldier      driving_B_2020.02.13_15.02.01.csv@2181  reward=QoE=    5.00 eps=0.727 loss=2.0188
[ep  181] longdress    driving_B_2020.01.16_09.56.56.csv@736   reward=QoE=   36.11 eps=0.725 loss=1.9814
[ep  182] loot         driving_B_2020.02.14_09.38.22.csv@841   reward=QoE=   37.57 eps=0.724 loss=1.7474
