episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
192,soldier,driving_B_2020.02.13_13.03.24.csv,1447,-96.0598,-96.06,-96.06,0.9219,3.759339
193,longdress,static_B_2020.02.27_18.39.27.csv,4147,31.6813,31.68,31.68,0.9215,3.822873
194,loot,driving_B_2020.01.16_07.26.43.csv,1294,54.3981,54.40,54.40,0.9211,3.977119
195,redandblack,static_B_2019.12.16_13.40.04.csv,1,21.4179,21.42,21.42,0.9207,3.769045
196,soldier,static_B_2020.02.27_18.39.27.csv,3547,21.2465,21.25,21.25,0.9203,4.442209
197,longdress,driving_B_2020.02.13_13.03.24.csv,1867,-297.8043,-297.80,-297.80,0.9199,4.299174
198,loot,static_B_2020.02.27_18.39.27.csv,4687,-93.7920,-93.79,-93.79,0.9195,3.884124
199,redandblack,driving_B_2019.12.17_07.32.39.csv,1233,-5.4523,-5.45,-5.45,0.9191,3.797410
200,soldier,driving_B_2020.02.14_09.38.22.csv,1344,20.9894,20.99,20.99,0.9187,3.833416
201,longdress,static_B_2020.02.27_18.39.27.csv,4267,63.4192,63.42,63.42,0.9183,3.864307
202,loot,static_B_2020.02.27_18.39.27.csv,1807,-44.1713,-44.17,-44.17,0.9178,3.479705
203,redandblack,driving_B_2020.02.14_09.38.22.csv,1478,-1.6564,-1.66,-1.66,0.9174,3.598856
204,soldier,driving_B_2020.01.16_07.26.43.csv,1054,19.6482,19.65,19.65,0.9170,5.532368
205,longdress,driving_B_2020.02.27_17.30.15.csv,18,-320.2952,-320.30,-320.30,0.9166,3.580324
206,loot,driving_B_2019.12.16_12.27.05.csv,806,31.5505,31.55,31.55,0.9162,4.353894
207,redandblack,driving_B_2020.02.27_17.30.15.csv,318,-115.1924,-115.19,-115.19,0.9158,4.149948
208,soldier,driving_B_2020.02.13_13.03.24.csv,547,-59.1974,-59.20,-59.20,0.9154,3.651781
209,longdress,driving_B_2020.01.16_09.56.56.csv,464,16.8041,16.80,16.80,0.9150,3.767958
210,loot,static_B_2020.02.27_18.39.27.csv,5287,27.2799,27.28,27.28,0.9146,3.785148
211,redandblack,static_B_2020.02.27_18.39.27.csv,427,41.4202,41.42,41.42,0.9142,3.585854
212,soldier,static_B_2020.02.27_18.39.27.csv,2827,55.8862,55.89,55.89,0.9138,3.417505
