# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45 --coverage-stride 60 --epochs 8 --eval-every 100 --eval-seeds 42,43,44 --lam 1.0 --lr 0.0001 --mu 4.3 --no-lstm-pred --playback-rate-min 0.9 --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 45 --segment-frames 5 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 199 episodes/epoch x 8 epochs = 1592 episodes (~95520 env steps)
   segment: 5 frames/request (60 decisions/episode) | playback-rate-min: 0.9 | eval seeds: [42, 43, 44]
   state_dim: 22 | actions: 6 | feature_spec: ['buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 4.3*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45
==========================================================================================
[eval @ ep 0] untrained: reward=255.88 qoe=46.0 qoe_q=84.9
[ep   70] loot         static_B_2020.02.14_13.21.26.csv@205   reward=  162.51 qoe=  54.0 qoe_q=   39.7 eps=0.930 loss=0.1169
[ep   71] redandblack  static_B_2020.02.13_13.57.29.csv@184   reward=   93.93 qoe=  18.7 qoe_q=   -1.2 eps=0.929 loss=0.1258
[ep   72] soldier      static_B_2020.02.27_18.39.27.csv@4442  reward=  135.90 qoe=  55.0 qoe_q=   19.9 eps=0.928 loss=0.1361
[ep   73] longdress    static_B_2020.02.27_18.39.27.csv@2642  reward=  123.33 qoe=   0.0 qoe_q=  -36.7 eps=0.927 loss=0.1440
[ep   74] loot         static_B_2020.02.27_18.39.27.csv@4862  reward=  123.49 qoe=  68.4 qoe_q=   14.4 eps=0.926 loss=0.1387
[ep   75] redandblack  static_B_2020.02.27_18.39.27.csv@4922  reward=  154.66 qoe=  68.4 qoe_q=   26.0 eps=0.925 loss=0.1439
[ep   76] soldier      static_B_2019.12.16_13.40.04.csv@1904  reward=  179.85 qoe=  56.0 qoe_q=   46.7 eps=0.924 loss=0.1285
[ep   77] longdress    static_B_2020.02.27_18.39.27.csv@1502  reward=  123.08 qoe=  40.0 qoe_q=  -13.0 eps=0.923 loss=0.1189
[ep   78] loot         static_B_2020.02.27_18.39.27.csv@4982  reward=  181.76 qoe= 100.0 qoe_q=   43.7 eps=0.922 loss=0.1322
[ep   79] redandblack  static_B_2020.02.13_13.57.29.csv@2884  reward=   97.69 qoe=  14.4 qoe_q=   -5.0 eps=0.921 loss=0.1264
[ep   80] soldier      static_B_2020.02.13_13.57.29.csv@1864  reward=  159.80 qoe=   0.0 qoe_q=  -35.0 eps=0.920 loss=0.1423
[ep   81] longdress    static_B_2020.02.13_13.57.29.csv@2644  reward=  161.38 qoe=  88.0 qoe_q=   37.9 eps=0.919 loss=0.1298
[ep   82] loot         static_B_2020.02.27_18.39.27.csv@4562  reward=  162.43 qoe= 100.0 qoe_q=   38.9 eps=0.918 loss=0.1341
[ep   83] redandblack  static_B_2020.02.13_13.57.29.csv@364   reward=   91.93 qoe=   0.0 qoe_q=  -39.0 eps=0.917 loss=0.1314
[ep   84] soldier      static_B_2020.02.14_13.21.26.csv@265   reward=  152.71 qoe=  63.0 qoe_q=   31.4 eps=0.916 loss=0.1375
[ep   85] longdress    static_B_2019.12.16_13.40.04.csv@956   reward=  130.30 qoe=   0.0 qoe_q=  -35.9 eps=0.915 loss=0.1502
[ep   86] loot         static_B_2020.02.27_18.39.27.csv@902   reward=  190.96 qoe=  82.4 qoe_q=   48.9 eps=0.914 loss=0.1348
[ep   87] redandblack  static_B_2019.12.16_13.40.04.csv@416   reward=   87.69 qoe=   0.0 qoe_q=  -24.4 eps=0.913 loss=0.1317
[ep   88] soldier      static_B_2020.02.27_18.39.27.csv@5042  reward=   90.94 qoe=   9.2 qoe_q=  -10.6 eps=0.912 loss=0.1427
