[ep  114] loot         driving_B_2020.02.14_09.38.22.csv@1182  reward=QoE= -168.88 eps=0.876 loss=3.1235
[ep  115] redandblack  driving_B_2020.01.16_09.56.56.csv@1570  reward=QoE=   32.37 eps=0.875 loss=3.1844
[ep  116] soldier      static_B_2020.02.14_13.21.26.csv@209   reward=QoE=   53.10 eps=0.874 loss=3.1360
[ep  117] longdress    static_B_2020.02.27_18.39.27.csv@1178  reward=QoE= -197.58 eps=0.873 loss=2.2502
[ep  118] loot         static_B_2020.02.14_13.21.26.csv@749   reward=QoE=   28.17 eps=0.872 loss=2.4130
[ep  119] redandblack  static_B_2019.12.16_13.40.04.csv@486   reward=QoE=  -22.71 eps=0.871 loss=3.0841
[ep  120] soldier      driving_B_2020.02.13_15.02.01.csv@203   reward=QoE=   16.98 eps=0.870 loss=2.6714
[ep  121] longdress    static_B_2020.02.27_18.39.27.csv@458   reward=QoE=   36.31 eps=0.869 loss=2.2455
[ep  122] loot         static_B_2020.02.27_18.39.27.csv@2618  reward=QoE=   43.22 eps=0.868 loss=2.4676
[ep  123] redandblack  driving_B_2020.01.16_09.56.56.csv@828   reward=QoE=  -76.42 eps=0.867 loss=2.6664
[ep  124] soldier      static_B_2020.02.27_18.39.27.csv@5318  reward=QoE=   45.58 eps=0.866 loss=2.5166
[ep  125] longdress    static_B_2019.12.16_13.40.04.csv@546   reward=QoE=   64.80 eps=0.864 loss=2.5130
[ep  126] loot         driving_B_2020.01.16_07.26.43.csv@404   reward=QoE=  -64.72 eps=0.863 loss=2.1526
[ep  127] redandblack  driving_B_2020.01.16_09.56.56.csv@1428  reward=QoE=   51.91 eps=0.862 loss=2.7300
[ep  128] soldier      static_B_2019.12.16_13.40.04.csv@1086  reward=QoE=   28.98 eps=0.861 loss=2.4335
[ep  129] longdress    driving_B_2020.02.13_13.03.24.csv@2069  reward=QoE= -197.59 eps=0.860 loss=2.6249
[ep  130] loot         driving_B_2020.02.14_12.58.17.csv@344   reward=QoE= -433.20 eps=0.859 loss=2.7921
[ep  131] redandblack  driving_B_2020.02.14_09.38.22.csv@1478  reward=QoE=  -20.98 eps=0.858 loss=2.7002
[ep  132] soldier      driving_B_2020.02.13_13.03.24.csv@149   reward=QoE= -145.62 eps=0.857 loss=2.4758
[ep  133] longdress    driving_B_2019.12.17_07.32.39.csv@1458  reward=QoE=  -36.42 eps=0.856 loss=2.5177
[ep  134] loot         driving_B_2020.02.13_13.03.24.csv@2009  reward=QoE= -100.88 eps=0.855 loss=2.5359
[ep  135] redandblack  driving_B_2020.02.13_15.02.01.csv@2363  reward=QoE= -207.09 eps=0.854 loss=3.0826
[ep  136] soldier      driving_B_2020.02.13_15.02.01.csv@1343  reward=QoE= -186.56 eps=0.852 loss=2.6380
[ep  137] longdress    driving_B_2019.12.17_07.32.39.csv@738   reward=QoE=   -5.49 eps=0.851 loss=2.3427
[ep  138] loot         driving_B_2020.02.13_13.03.24.csv@1049  reward=QoE=  -32.21 eps=0.850 loss=2.6948
[ep  139] redandblack  driving_B_2020.02.13_13.03.24.csv@1169  reward=QoE=  -32.67 eps=0.849 loss=2.3711
[ep  140] soldier      static_B_2019.12.16_13.40.04.csv@246   reward=QoE=   30.18 eps=0.848 loss=2.5039
[ep  141] longdress    static_B_2020.02.27_18.39.27.csv@3458  reward=QoE=   54.37 eps=0.847 loss=2.5131
[ep  142] loot         static_B_2020.02.27_18.39.27.csv@158   reward=QoE=   39.66 eps=0.846 loss=2.4347
[ep  143] redandblack  driving_B_2020.01.16_07.26.43.csv@44    reward=QoE=   -6.97 eps=0.845 loss=2.5116
[ep  144] soldier      static_B_2020.02.27_18.39.27.csv@1658  reward=QoE=   43.92 eps=0.844 loss=2.5325
[ep  145] longdress    driving_B_2020.01.16_07.26.43.csv@1004  reward=QoE=  -39.38 eps=0.843 loss=2.1457
[ep  146] loot         static_B_2020.02.27_18.39.27.csv@638   reward=QoE=   25.71 eps=0.842 loss=2.4785
[ep  147] redandblack  driving_B_2019.12.17_07.32.39.csv@1518  reward=QoE=  -32.65 eps=0.841 loss=2.3998
[ep  148] soldier      static_B_2020.02.27_18.39.27.csv@2678  reward=QoE=   -0.90 eps=0.839 loss=2.1488
[ep  149] longdress    driving_B_2020.02.14_09.38.22.csv@1422  reward=QoE=  -59.83 eps=0.838 loss=2.2726
[ep  150] loot         static_B_2020.02.27_18.39.27.csv@398   reward=QoE=   43.58 eps=0.837 loss=2.7205
[ep  151] redandblack  static_B_2020.02.27_18.39.27.csv@4658  reward=QoE= -279.75 eps=0.836 loss=2.1995
[ep  152] soldier      driving_B_2020.01.16_07.26.43.csv@1364  reward=QoE= -113.95 eps=0.835 loss=2.5989
[ep  153] longdress    driving_B_2020.01.16_09.56.56.csv@1308  reward=QoE=   48.75 eps=0.834 loss=2.6001
[ep  154] loot         static_B_2020.02.27_18.39.27.csv@2078  reward=QoE=   56.31 eps=0.833 loss=2.4004
[ep  155] redandblack  static_B_2020.02.27_18.39.27.csv@2138  reward=QoE=   31.46 eps=0.832 loss=2.5249
[ep  156] soldier      static_B_2020.02.27_18.39.27.csv@4178  reward=QoE=   27.23 eps=0.831 loss=2.3986
[ep  157] longdress    static_B_2020.02.27_18.39.27.csv@2498  reward=QoE=   56.14 eps=0.830 loss=2.4259
[ep  158] loot         static_B_2019.12.16_13.40.04.csv@1326  reward=QoE=   59.76 eps=0.829 loss=2.6235
