episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
159,redandblack,driving_B_2020.01.16_09.56.56.csv,1364,26.0127,26.01,26.01,0.7988,1.078745
160,soldier,driving_B_2020.01.16_07.26.43.csv,694,-75.6865,-75.69,-75.69,0.7975,1.125992
161,longdress,driving_B_2019.12.17_07.32.39.csv,1473,-47.6704,-47.67,-47.67,0.7963,0.970129
162,loot,driving_B_2020.01.16_12.10.03.csv,115,44.5289,44.53,44.53,0.7950,1.175054
163,redandblack,driving_B_2020.02.14_09.38.22.csv,384,-180.3123,-180.31,-180.31,0.7937,1.027981
164,soldier,driving_B_2020.02.13_15.02.01.csv,1991,16.8953,16.90,16.90,0.7925,0.994455
165,longdress,static_B_2019.12.16_13.40.04.csv,1261,-53.4449,-53.44,-53.44,0.7912,1.218355
166,loot,driving_B_2020.02.27_17.30.15.csv,258,-344.0860,-344.09,-344.09,0.7899,1.146304
167,redandblack,driving_B_2020.01.16_07.26.43.csv,934,-63.0566,-63.06,-63.06,0.7887,1.056753
168,soldier,static_B_2019.12.16_13.40.04.csv,781,32.0012,32.00,32.00,0.7874,0.963029
169,longdress,driving_B_2020.01.16_07.26.43.csv,574,-82.4643,-82.46,-82.46,0.7861,1.036241
170,loot,driving_B_2020.02.13_13.03.24.csv,1327,-65.8520,-65.85,-65.85,0.7849,1.017475
171,redandblack,driving_B_2020.01.16_07.26.43.csv,154,-228.8285,-228.83,-228.83,0.7836,1.012778
172,soldier,driving_B_2020.01.16_09.56.56.csv,164,9.0071,9.01,9.01,0.7823,1.103891
173,longdress,static_B_2020.02.27_18.39.27.csv,3427,45.0100,45.01,45.01,0.7811,1.185689
174,loot,driving_B_2020.01.16_07.26.43.csv,514,-51.4874,-51.49,-51.49,0.7798,0.906917
175,redandblack,driving_B_2020.01.16_09.56.56.csv,1004,33.3327,33.33,33.33,0.7785,0.999159
176,soldier,driving_B_2020.02.14_09.38.22.csv,924,42.5160,42.52,42.52,0.7773,1.143280
177,longdress,static_B_2020.02.27_18.39.27.csv,4807,53.8795,53.88,53.88,0.7760,1.122111
178,loot,static_B_2020.02.14_13.21.26.csv,134,38.1856,38.19,38.19,0.7747,1.095130
179,redandblack,driving_B_2019.12.17_07.32.39.csv,1413,9.3840,9.38,9.38,0.7735,1.191930
180,soldier,static_B_2020.02.27_18.39.27.csv,5527,49.6083,49.61,49.61,0.7722,1.022755
181,longdress,driving_B_2020.02.14_09.38.22.csv,144,-153.1705,-153.17,-153.17,0.7709,1.021919
182,loot,driving_B_2020.02.13_15.02.01.csv,1271,13.5356,13.54,13.54,0.7697,1.012355
183,redandblack,static_B_2020.02.27_18.39.27.csv,3667,29.9894,29.99,29.99,0.7684,1.013502
